Wall time,Step,Value
1745682547.6592858,557,0.9828065633773804
1745682552.715952,559,1.0053362846374512
1745682561.0147147,563,1.002472996711731
1745682563.1101298,564,1.0491153001785278
1745682573.5693,569,1.0100189447402954
1745682581.9562924,573,1.0508768558502197
1745682585.2496881,574,0.9802209734916687
1745682595.5583892,579,0.9803067445755005
1745682599.7307627,581,0.988318920135498
1745682601.8193614,582,1.0157349109649658
1745682606.1245317,584,0.8893306255340576
1745682610.2418742,586,1.0361485481262207
1745682612.2780805,587,1.0727304220199585
1745682624.1093867,592,0.8883468508720398
1745682626.1791153,593,0.9935799837112427
1745682640.5709302,600,1.0427953004837036
1745682645.007213,602,0.9997595548629761
1745682659.0626347,608,0.946286678314209
1745682664.453847,610,0.999940037727356
1745682674.935564,615,0.9940353035926819
1745682685.65825,620,1.0354278087615967
1745682689.9139614,622,1.0405049324035645
1745682716.084902,634,0.9423384070396423
1745682730.6449454,641,1.031363844871521
1745682733.3289502,642,1.0129952430725098
1745682737.434768,644,0.9482566714286804
1745682739.4843056,645,0.9825712442398071
1745682741.5423489,646,1.077330231666565
1745682743.6555235,647,0.9693291783332825
1745682747.9327037,649,1.0139473676681519
1745682754.1762116,652,0.9763154983520508
1745682762.6797447,656,0.9427599906921387
1745682773.1033251,661,0.9361080527305603
1745682779.2044873,664,0.9914270043373108
1745682787.8382208,668,0.9683148264884949
1745682794.7288854,671,0.9381886124610901
1745682796.810308,672,0.9170005917549133
1745682801.293579,674,0.9965963959693909
1745682803.326905,675,0.9079610109329224
1745682809.6664696,678,1.0145529508590698
1745682811.7210894,679,1.0208537578582764
1745682818.1738539,682,0.8710277080535889
1745682820.224473,683,0.9880650639533997
1745682831.3310905,688,0.9709849953651428
1745682833.479563,689,0.8971368670463562
1745682849.594444,696,1.0417101383209229
1745682857.2903528,699,0.9571051597595215
1745682866.4547803,703,1.0175855159759521
1745682872.7365272,706,0.9582605361938477
1745682876.8320658,708,0.9067492485046387
1745682880.9828143,710,0.9282761216163635
1745682890.1124039,714,0.900961697101593
1745682898.61326,718,0.8819827437400818
1745682904.8045077,721,0.9309023022651672
1745682906.8977568,722,0.9244813323020935
1745682908.9432404,723,0.9541908502578735
1745682911.0000443,724,1.013033151626587
